game_id,date,season,status,home_team_id,away_team_id,home_team_name,away_team_name,home_runs,away_runs,runs_diff,winner,home_days_since_last_game,away_days_since_last_game,home_win_streak,away_win_streak,spread_home,odd_home_american,odd_home_decimal,odd_sign_home,spread_away,odd_away_american,odd_away_decimal,odd_sign_away,predicted_winner,model_prob_home,model_prob_away,predicted_diff,diff_vs_line_home,diff_vs_line_away,implied_prob_home,implied_prob_away,edge_home,edge_away,ev_home,ev_away,cover_streak_home_10,cover_streak_away_10,cover_team,predicted_cover,prob_cover_away,prob_cover_home,stake,profit
4519,2025-04-05,2025,STATUS_FINAL,17,11,Minnesota Twins,Houston Astros,6.0000000000,1.0000000000,5.0000000000,1,2,2,0,1,-1.5000000000,177,2.7700000000,1,1.5000000000,-195,1.5128205128,0,1,0.5035927360,0.4964072640,3.3570384568,1.8570384568,4.8570384568,0.3610108303,0.6610169492,0.1425819057,-0.1646096851,0.3949518787,-0.2490249083,0,1,1,0,0.6320426059,0.3679573941,20000.0000000000,-20000.0000000000
5092,2025-04-06,2025,STATUS_FINAL,5,23,Chicago Cubs,San Diego Padres,7.0000000000,8.0000000000,1.0000000000,0,1,1,5,0,-1.5000000000,142,2.4200000000,1,1.5000000000,-172,1.5813953488,0,0,0.4737980638,0.5262019362,3.6540301008,2.1540301008,5.1540301008,0.4132231405,0.6323529412,0.0605749233,-0.1061510050,0.1465913145,-0.1678667056,2,6,0,0,0.6308872720,0.3691127280,20000.0000000000,11627.9069767442
5093,2025-04-06,2025,STATUS_FINAL,28,27,Texas Rangers,Tampa Bay Rays,4.0000000000,3.0000000000,1.0000000000,1,1,1,4,0,1.5000000000,-185,1.5405405405,0,-1.5000000000,150,2.5000000000,1,0,0.4945826989,0.5054173011,3.4974978912,4.9974978912,1.9974978912,0.6491228070,0.4000000000,-0.1545401082,0.1054173011,-0.2380753018,0.2635432529,3,3,1,1,0.4067482590,0.5932517410,20000.0000000000,10810.8108108108
5095,2025-04-06,2025,STATUS_FINAL,13,8,Los Angeles Angels,Cleveland Guardians,6.0000000000,2.0000000000,4.0000000000,1,1,1,1,0,1.5000000000,-163,1.6134969325,0,-1.5000000000,148,2.4800000000,1,1,0.5133946522,0.4866053478,3.3433075142,4.8433075142,1.8433075142,0.6197718631,0.4032258065,-0.1063772109,0.0833795413,-0.1716393035,0.2067812625,2,0,1,1,0.3999499741,0.6000500259,20000.0000000000,12269.9386503067
599174,2025-04-06,2025,STATUS_FINAL,4,26,Boston Red Sox,St. Louis Cardinals,5.0000000000,4.0000000000,1.0000000000,1,0,0,4,0,-1.5000000000,160,2.6000000000,1,1.5000000000,-185,1.5405405405,0,0,0.4631118922,0.5368881078,3.4766622467,1.9766622467,4.9766622467,0.3846153846,0.6491228070,0.0784965076,-0.1122346992,0.2040909197,-0.1729021042,2,4,0,0,0.6296295550,0.3703704450,20000.0000000000,10810.8108108108
5422,2025-04-07,2025,STATUS_FINAL,4,29,Boston Red Sox,Toronto Blue Jays,2.0000000000,6.0000000000,4.0000000000,0,1,1,5,0,-1.5000000000,150,2.5000000000,1,1.5000000000,-180,1.5555555556,0,0,0.4913944351,0.5086055649,3.6528056980,2.1528056980,5.1528056980,0.4000000000,0.6428571429,0.0913944351,-0.1342515780,0.2284860879,-0.2088357880,2,5,0,0,0.6193628850,0.3806371150,20000.0000000000,11111.1111111111
5421,2025-04-07,2025,STATUS_FINAL,22,26,Pittsburgh Pirates,St. Louis Cardinals,8.0000000000,4.0000000000,4.0000000000,1,1,1,1,0,1.5000000000,-155,1.6451612903,0,-1.5000000000,141,2.4100000000,1,0,0.4634501269,0.5365498731,3.1175615433,4.6175615433,1.6175615433,0.6078431373,0.4149377593,-0.1443930104,0.1216121138,-0.2375497912,0.2930851942,1,4,1,1,0.4083835122,0.5916164878,20000.0000000000,12903.2258064516
5952,2025-04-08,2025,STATUS_FINAL,10,19,Detroit Tigers,New York Yankees,5.0000000000,0.0000000000,5.0000000000,1,1,1,4,0,-1.5000000000,141,2.4100000000,1,1.5000000000,-155,1.6451612903,0,0,0.4543231254,0.5456768746,3.8602530084,2.3602530084,5.3602530084,0.4149377593,0.6078431373,0.0393853661,-0.0621662627,0.0949187323,-0.1022735289,3,4,1,0,0.6254283334,0.3745716666,20000.0000000000,-20000.0000000000
5954,2025-04-08,2025,STATUS_FINAL,22,26,Pittsburgh Pirates,St. Louis Cardinals,3.0000000000,5.0000000000,2.0000000000,0,1,1,2,0,-1.5000000000,172,2.7200000000,1,1.5000000000,-190,1.5263157895,0,0,0.4535976341,0.5464023659,3.1137733542,1.6137733542,4.6137733542,0.3676470588,0.6551724138,0.0859505753,-0.1087700479,0.2337855648,-0.1660174415,2,4,0,0,0.6419763533,0.3580236467,20000.0000000000,10526.3157894737
5957,2025-04-08,2025,STATUS_FINAL,5,28,Chicago Cubs,Texas Rangers,10.0000000000,6.0000000000,4.0000000000,1,1,1,1,0,-1.5000000000,145,2.4500000000,1,1.5000000000,-180,1.5555555556,0,1,0.5151246602,0.4848753398,3.6154991152,2.1154991152,5.1154991152,0.4081632653,0.6428571429,0.1069613949,-0.1579818030,0.2620554174,-0.2457494714,3,4,1,0,0.6225176387,0.3774823613,20000.0000000000,-20000.0000000000
6121,2025-04-09,2025,STATUS_FINAL,4,29,Boston Red Sox,Toronto Blue Jays,1.0000000000,2.0000000000,1.0000000000,0,1,1,0,2,-1.5000000000,160,2.6000000000,1,1.5000000000,-185,1.5405405405,0,0,0.4943877884,0.5056122116,3.6354175129,2.1354175129,5.1354175129,0.3846153846,0.6491228070,0.1097724037,-0.1435105954,0.2854082497,-0.2210838902,2,4,0,0,0.6217500086,0.3782499914,20000.0000000000,10810.8108108108
